Product Link,Product Name,Brand,Star Rating,Number of Ratings,Original Price,Offer Price,Best Sellers Rank,output_wattage,asin,item_model_number,min_temperature,wattage,country_of_origin,manufacturer,is_dishwasher_safe,nonstick_coating,model_name,control_method,item_weight,recommended_uses,material,capacity,product_color,product_dimensions,special_feature,bullet_points
https://www.amazon.in/Secura-Chameleon-Paillette-Holographic-SABS07-27/dp/B06XYKVPLS/ref=sr_1_146?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476043&sprefix=air+fryer%2Caps%2C3150&sr=8-146,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,[]
https://www.amazon.in/DOGOU-Automatic-Intelligent-Capacity-Dehydrator/dp/B0B59QK55S/ref=sr_1_180?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476049&sprefix=air+fryer%2Caps%2C3150&sr=8-180,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,[]
https://www.amazon.in/Electric-Digital-Nonstick-Control-Plug-POOWE/dp/B09HYV1V22/ref=sr_1_149?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476043&sprefix=air+fryer%2Caps%2C3150&sr=8-149,        Air Fryer 1000W 3L Electric Hot Air Fryer Oven with LED Digital Screen Oil Free Nonstick Pot with Knob Timer Control Air Fryer EU Plug Black EU Plug-POOWE       ,Not Available,4,Not Available,"53,597","26,719.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"['❤ Non-slip feet at the bottom of the device, small and portable, easy and convenient to operate.', '❤ Non-stick coating of the pot, easy to clean, durable for using.', '❤ 1000W air fryer for you to cook cious, oil-free and healthy food easily and fast.', '❤ Timer and control design ensure cious cooking and safety.', '❤ 3L large acity, equipped with a detachable non-stick food air frying pot, enough to cook snacks for your entire fa ly.']"
https://www.amazon.in/Nutricook-Tempered-Airfryer-Programs-AF103K/dp/B09VDPB3VT/ref=sr_1_91?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476031&sprefix=air+fryer%2Caps%2C3150&sr=8-91,"        Nutricook Air Fryer Mini, 1500 Watts, Digital Display, Tempered Glass Control Panel, Airfryer with 8 Preset Programs with built-in Preheat function, 3.0 Liters, Black, 2 Years Warranty, AF103K       ",Not Available,3.8,6,"11,999","7,999.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"['Mini but mighty. The Air Fryer Mini makes food with less fat than traditional deep frying while maintaining the same delicious fried flavor. Include (1) 1500 watt air fryer (1) air fryer basket (1) cooking tray (1) user guide', 'SmartTemp Technology. Our breakthrough SmartTemp technology automatically adjusts temperature to make everything super crispy on the outside and tender on the inside.', 'Shake Reminder. The Air Fryer Mini comes with the helpful Shake reminder, letting you know when to shake the contents for an even fry.', 'Cook-at-a-touch. Just hit one of our 8 one-touch presets for perfectly cooked food Every. Single. Time.', 'A clear advantage. Our non-stick basket and cooking tray are PFOA-free, BPA-free and dishwasher-safe, too']"
https://www.amazon.in/Inalsa-Capacity-Stainless-Rotisserie-Function/dp/B094NJPL81/ref=sr_1_8?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476002&sprefix=air+fryer%2Caps%2C3150&sr=8-8,        INALSA Air Fryer Oven Aero Crisp with 12L Capacity | Digital Display and Stainless Steel |10 Preset Program | Rotisserie Function and 1500 Watt |Free Recipe book|2 Year Warranty(Black)       ,Not Available,3.8,"1,607","21,995","9,499.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"['Calorie Killer - A Healthier Way: Aero Crisp Air fryer Oven uses the circulation of hot air to cook food that would otherwise be submerged in oil, which reduces intake of 99% of oil and calorie while keeping its crispy taste and makes it possible to enjoy your food without burden.', '10 Preset Programs: The air fryer oven offers 10 preset menus with precise time settings and temperature control to cook or reheat the food quickly, taking place of the deep fryer, oven, frying pan, toaster, sandwich maker, defroster, microwave oven. Itâ€s time to release kitchen space with the multifunctional air fryer.', 'Cook Faster and Bake Evener: Troubled by long cooking time? Food will be cooked faster thanks to the 1500W powerful Air System Technology as compared to non-convection ovens, which saves your cooking time and releases your hands to work on others dishes.', 'Large Capacity: This 10L large-capacity fryer oven has convenient buttons and a clear LED display. You can easily operate and select different functions. At the same time, it also has lighting control that allows you to pass The glass panel can view the cooking progress of the internal food, which greatly increases your control over the food.', 'Environment Friendly - No More Smoke & Oil Splash. To care for you & your family, Inalsa Aero Crisp Air Fryer Oven offers an environment with no smoke & oil, as kitchen smoke and oil splash do harm to the body in long-term cooking.', 'Illuminated Cooking Chamber: Crisp Tray & Bake/Drip Tray and also has Rotisserie Folk Set, Rotisserie Handle & Pot Mitts', 'Non-stick Square Basket with 4.6 L capacity, detachable handle and Rotation Drum Basket (2.6 L)']"
https://www.amazon.in/Faber-technology-detachable-overheat-protection/dp/B0BLZ9WCBY/ref=sr_1_47?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476020&sprefix=air+fryer%2Caps%2C3150&sr=8-47,"        Faber 3L 1300W Air Fryer, fry, bake, roast, toast, defrost, grill & reheat | 360° rapid air technology, 85% less oil, 2.7L detachable basket, overheat protection || 1yr warranty (FAF 3.0 BK) Black       ",Not Available,4.2,Not Available,"9,990","4,449.00",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"['Capacity: 2.7 Liter( basket) / 3L drawer || 220- 240 V 50/60 Hz || 1300 watt', 'Body : Plastic body || Container : Detachable non-stick container || Basket : Detachable frying basket || Temperature : Adjustable temperature 80-200°C With overheat protection', 'Timer : 30/60 min timer automatically shut off for precise cooking || Manual Contol', 'Power cord storage || Indicator : Operation light indicator', 'Feet : Non-slip feet || With few drops of oil or no oil during frying process, healthy lifestyle || 1 year warranty on product']"
https://www.amazon.in/AMION-AM4025AF-Function-Nonstick-Warranty/dp/B0B8WWGXX8/ref=sr_1_107?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476034&sprefix=air+fryer%2Caps%2C3150&sr=8-107,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,[]
https://www.amazon.in/PHILIPS-Essential-HD9200-60-kilograms/dp/B09K7RLCPL/ref=sr_1_22?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476016&sprefix=air+fryer%2Caps%2C3150&sr=8-22,"        PHILIPS Essential Air Fryer (Slate Grey, HD9200/60, 4.1L, 0.80 kilograms)       ",‎PHILIPS,Not Available,73,"8,995","7,584.00","  #71,655 in Home & Kitchen (See Top 100 in Home & Kitchen)   #33 in Air Fryers   ",‎1400 Watts,‎B09K7RLCPL,‎HD9200/60,Not Available,Not Available,‎China,Not Available,‎Yes,‎Yes,Not Available,‎Touch,‎6 Kilograms,"‎Roast, Broil, Steam, Reheat",‎Aluminium,‎4.1 litres,Not Available,‎32D x 32W x 34H Centimeters,‎Temperature Control,['Temperature Control']
https://www.amazon.in/Inllex-Air-Fryer-Oven-Healthy/dp/B09MDC3KV5/ref=sr_1_186?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476049&sprefix=air+fryer%2Caps%2C3150&sr=8-186,"        Inllex Air Fryer Oven, Oil Free Nonstick Cooker, 4.0 L / 1500W Oven with Touch Control Panel, 6 Cooking Presets for Roast, Reheat, Bake, Auto Shut Off, Nonstick Basket, Chicken 3-5 People Non Stick Timer Kitchen Healthy cooker       ",‎Inllex,4,Not Available,"18,299","9,100.00",Not Available,Not Available,‎B09MDC3KV5,‎Healthy Air Fryer Oven,Not Available,Not Available,‎China,‎Inllex,Not Available,‎Yes,‎Healthy Air Fryer Oven,Not Available,‎250 Grams,Not Available,‎Stainless Steel + plastic + non stick,‎4 litres,‎Multicolour,Not Available,Not Available,"['► 【Ergonomic Design】The ergonomic beveled operation panel brings a more comfortable operating experience and can be easily operated without bending down. Simple knob controls and preset recipes help you cook meat, fruits and vegetables, desserts and more to perfection. The Tiffany blue or black air fryer will also make your kitchen more unique and attractive.', '► 【Convenient Timer Control】: Small Air Fryer for Your Kitchen Countertop with a Classic Temperature Control (0°C- 400°C) , Make Sure Easy to Programming and Cooking Easily,And timer control to 30 min, Easy to Use 4 L Air Fryer Basket is Enough for a Family of 2 to 4 People. Air Fryers Best Seller Prime Deal of the Day.', '► 【Multi functional Cooking Method】 : This air fryers has a large 4.2QT capacity, can fit a regular size roast chicken and serves a family of at 3-4 people. You can do more than just fry, as this machine also roasts, grills and bakes food like pizza, steak, french fries, drumsticks or bread.', '► 【Oil-Free & Less Fat】This air fryer allows you to fry, bake and grill with virtually no oil, which can reduce your calorie intake by up to 90% while maintaining the crispy texture of your food so you can enjoy your meal without the burden. No more fumes and splashes of hot oil, fully taking care of you and your family. When the frying basket is pulled out, the power will automatically shut off, making it safer to use.', '► Not just chips: 11 presets include French fries,Bread, Chicken, Steak ,Seafood,Shrimp,Bacon,Frozen Foods,Vegetables,Root Vegetables ,Desserts.Just tap a preset,offer yourself a perfect meal']"
https://www.amazon.in/AmazonBasics-Litre-1700-Fryer-Touchscreen/dp/B0842CVYNS/ref=sr_1_18?crid=3EWKFR0AZLVMY&keywords=air+fryer&qid=1676476016&sprefix=air+fryer%2Caps%2C3150&sr=8-18,"        Amazon Basics 1700 W Digital Air Fryer with Touchscreen Panel | 5.5 Litre Non Stick Basket with Metallic Interior| 8 Pre Set Functions Including Air Fry, Roasting, Baking and Grilling       ",‎AmazonBasics,4.3,639,"11,000","4,699.00","  #9,806 in Home & Kitchen (See Top 100 in Home & Kitchen)   #18 in Deep Fat Fryers   ",Not Available,‎B0842CVYNS,‎MF-TN40A-IND,Not Available,Not Available,‎China,"‎GUANGDONG MIDEA KITCHEN APPLIANCES MANUFACTURING CO., LTD.",Not Available,‎Yes,Not Available,‎Touch,6 kg 460 g,"‎Roast, Bake, Dehydrate",‎Plastic+Metal,‎5.5 litres,‎Multicolour,‎25.8D x 32.4W x 32.4H Centimeters,‎Temperature Control,"['Easy to use AmazonBasics 5.5 Litre 1700 Watt Air Fryer with 8 Pre-set functions to cook food with less oil; ideal for air frying, roasting, baking and grilling;Can be used to make samosas, pakodas, wafers, nuggets, chicken wings, French fries and much more. Comes with LCD Touch Panel to set temperature and time. Temperature range of 80 - 220 Degree Celsius and Timer range of up to 1 hour', 'Tested in International lab against international protocols; All food contact materials are thoroughly tested to ensure safety for food contact;Made from food grade Materials; .4t Aluminium plated frying basket', 'Also comes with a dehydrate function to preserve food; especially useful for people on raw food diets;Comes with electronic thermostat; fryer shuts off automatically after 1 hour to prevent overheating', 'Has a BIS certified cable for enhanced safety;Equipped with Indicators to signal cooking completion / ready to shake (for homogenous cooking)', 'Color Name: Multicolor']"
